"","x"
"1824",62669
"1825",91118
"1826",33173
"1827",76830
"1828",47148
"1829",66210
"1830",88750
"1831",49412
"1832",78021
"1833",31601
"1834",57093
"1835",35189
"1836",32386
"1837",59563
"1838",81296
"1839",94279
"1840",89038
"1841",114590
"1842",162222
"1843",150302
"1844",83851
"1845",53438
"1846",139886
"1847",81417
"1848",29806
"1849",53261
"1850",50224
"1851",73036
"1852",29019
"1853",45449
"1854",29960
"1855",30455
"1856",46313
"1857",61174
"1858",47102
"1859",37288
"1860",105625
"1861",51250
"1862",31310
"1863",26658
"1864",20343
"1865",102742
"1866",36117
"1867",38619
"1868",29205
"1869",37105
"1870",19481
"1871",17459
"1872",25708
"1873",32222
"1874",38818
"1875",42489
"1876",93125
"1877",45545
"1878",88125
"1879",25732
"1880",84871
"1881",69063
"1882",167083
"1883",26281
"1884",31987
"1885",26797
"1886",144561
"1887",44479
"1888",65625
"1889",106042
"1890",30730
"1891",34688
"1892",37917
"1893",35682
"1894",116250
"1895",60417
"1896",71741
"1897",31181
"1898",50188
"1899",65856
"1900",46250
"1901",40613
"1902",83333
"1903",61550
"1904",28750
"1905",41229
"1906",27418
"1907",37708
"1908",48150
"1909",34038
"1910",72429
"1911",42143
"1912",52315
"1913",29125
"1914",31705
"1915",30723
"1916",51034
"1917",54904
"1918",186429
"1919",28621
"1920",25053
"1921",69899
"1922",65028
"1923",42222
"1924",101458
"1925",110000
"1926",77232
"1927",71420
"1928",54018
"1929",17052
"1930",65114
"1931",61823
"1932",55085
"1933",36650
"1934",40964
"1935",51336
"1936",68615
"1937",31643
"1938",22385
"1939",29471
"1940",63472
"1941",77458
"1942",29329
"1943",84625
"1944",64236
"1945",61364
"1946",42361
"1947",32304
"1948",28716
"1949",46555
"1950",31667
"1951",40239
"1952",62734
"1953",41250
"1954",35538
"1955",69688
"1956",60850
"1957",60556
"1958",61779
"1959",32847
"1960",49214
"1961",50243
"1962",39732
"1963",60393
"1964",64070
"1965",51023
"1966",83681
"1967",67784
"1968",42973
"1969",68000
"1970",113833
"1971",52537
"1972",30114
"1973",35497
"1974",58226
"1975",32500
"1976",78981
"1977",68611
"1978",30213
"1979",182273
"1980",75438
"1981",42663
"1982",36951
"1983",60819
"1984",103920
"1985",42117
"1986",37315
"1987",51528
"1988",26673
"1989",51616
"1990",67125
"1991",26845
"1992",46944
"1993",37181
"1994",29783
"1995",39453
"1996",19559
"1997",56627
"1998",25256
"1999",26516
"2000",26202
"2001",209375
"2002",108667
"2003",155263
"2004",47281
"2005",30259
"2006",23582
"2007",24609
"2008",27198
"2009",32294
"2010",29519
"2011",36059
"2012",39858
"2013",45357
"2014",88333
"2015",123494
"2016",60333
"2017",36094
"2018",121588
"2019",88262
"2020",22294
"2021",78427
"2022",34960
"2023",25741
"2024",107656
"2025",55625
"2026",31779
"2027",60222
"2028",48239
"2029",103796
"2030",50246
"2031",140208
"2032",152202
"2033",92518
"2034",66250
"2035",134000
"2036",53155
"2037",61542
"2038",72132
"2039",51625
"2040",100987
"2041",202500
"2042",71250
"2043",27790
"2044",34226
"2045",28317
"2046",59243
"2047",35744
"2048",80172
"2049",29750
"2050",33654
"2051",214911
"2052",92578
"2053",51213
"2054",46364
"2055",49407
"2056",53438
"2057",61333
"2058",49803
"2059",71900
"2060",36596
"2061",26849
"2062",25231
"2063",50802
"2064",38438
"2065",40039
"2066",28411
"2067",25978
"2068",38636
"2069",79333
"2070",72354
"2071",32413
"2072",44314
"2073",71815
"2074",102069
"2075",104886
"2076",40072
"2077",73068
"2078",67794
"2079",92595
"2080",122744
"2081",89432
"2082",90775
"2083",41635
"2084",55521
"2085",84792
"2086",26891
"2087",32440
"2088",46442
"2089",28929
"2090",31085
"2091",35635
"2092",27234
"2093",20025
"2094",30809
"2095",61591
"2096",27447
"2097",26959
"2098",29464
"2099",181417
"2100",42604
"2101",27043
"2102",40776
"2103",102886
"2104",102813
"2105",42829
"2106",71573
"2107",35347
"2108",37917
"2109",94167
"2110",52632
"2111",59211
"2112",44764
"2113",70056
"2114",29590
"2115",42847
"2116",42401
"2117",46563
"2118",32368
"2119",24623
"2120",24695
"2121",23363
"2122",71536
"2123",65114
"2124",29196
"2125",55758
"2126",30833
"2127",33571
"2128",48917
"2129",27183
"2130",38068
"2131",81442
"2132",100556
"2133",92685
"2134",156310
"2135",55536
"2136",68354
"2137",52407
"2138",146912
"2139",81064
